VideoName	left_up_x	left_up_y	right_up_x	right_up_y	right_bottom_x	right_bottom_y	left_bottom_x	left_bottom_y	food_x	food_y	scale
23.02.08_150mM_filtered	328	38	906	25	903	604	340	610	356	65	4
23.02.08_control_filtered	212	43	746	44	734	596	188	575	235	70	4
23.17.08_150mM_filtered	374	34	925	48	914	611	350	585	879	571	4
23.17.08_control	197	166	725	151	745	674	220	689	708	639	4
23.19.08_150mM	96	24	654	38	648	595	86	595	626	570	4
23.19.08_450mM	252	49	802	45	815	593	259	618	271	77	4
23.19.08_50mM	230	73	885	34	920	687	267	723	877	655	4
23.19.08_control	290	182	813	172	828	689	301	708	802	653	4
arenaem_150mM	155	25	714	41	705	608	127	592	174	54	4
arenaem_control	180	39	860	39	854	714	186	711	212	75	4
23.08.16_450mM_filtered	244	57	744	64	744	554	242	565	274	91	4
23.08.16_50mM_filtered	313	120	853	104	868	644	325	658	816	609	4
23.08.17_450mM_filtered	123	30	798	42	782	718	107	701	751	91	4
23.08.17_50mM	198	99	856	76	867	740	223	738	821	690	4
23.09.02_150mM_filtered	54	81	692	31	746	670	104	719	710	640	4
23.09.02_450mM	201	53	862	27	886	689	225	716	252	100	4
23.09.02_50mM_filtered	204	46	840	52	839	697	188	690	804	663	4
23.09.02_control_filtered	133	58	769	90	747	735	93	713	167	101	4
23.09.14_150mM	191	66	811	42	848	651	224	693	797	622	4
23.09.14_450mM	230	63	887	28	912	688	262	706	314	122	4
23.09.14_50mM	181	48	855	45	856	721	183	720	800	91	4
23.09.14_control	241	46	887	65	881	709	227	703	301	95	4
23.09.20_150mM	223	24	868	28	871	679	219	679	250	60	4
23.09.20_450mM	194	86	810	96	810	710	187	717	770	667	4
23.09.20_50mM	219	26	881	13	885	672	241	673	269	91	4
23.09.20_control	105	44	775	15	796	688	120	712	146	89	4
23.10.06_150mM	179	69	820	26	862	673	211	712	247	648	4
23.10.06_450mM	210	23	834	40	827	667	188	650	786	618	4
23.10.06_50mM	317	139	908	132	909	715	326	721	361	180	4
23.10.06_control	256	29	853	38	847	637	240	631	296	588	4
